"name","rating","reviews_count","description","image","city" 
"J. Paul Getty Museum","4.5","(42)","Museum, art, painting, middle ages, and sculpture","","Los Angles"
"Disneyland Park","4.6","(111,258)","Famed amusement park with 8 themed lands","","Anaheim"
"Angel Stadium of Anaheim","4.6","(20,791)","Baseball park & home of the Angels","","Anaheim"
"Disney California Adventure Park","4.7","(56,378)","Modern theme park with dining & shows","","Anaheim"
"Anaheim Packing District","4.6","(11,592)","Modern public market & food hall","","Anaheim"
"Disneyland Resort","4.7","(112,157)","Iconic resort with 2 theme parks","","Anaheim"
"Knott's Berry Farm","4.6","(53,412)","Old-school theme park with rides & charm","","Anaheim"
"Downtown Disney District","4.6","(27,696)","Disneyland destination for shops & food","","Anaheim"
"Yorba Regional Park","4.7","(3,168)","Picnicking, fishing, hiking & biking","","Anaheim"
"Honda Center","4.6","(8,308)","","","Anaheim"
"Oak Canyon Nature Center","4.7","(1,078)","Nature park with an interpretive center","","Anaheim"
"Adventure City","4.7","(3,009)","Amusement park for children","","Anaheim"
"STC Anaheim GardenWalk","4.3","(5,847)","","","Anaheim"
"City National Grove of Anaheim","4.5","(1,478)","","","Anaheim"
"Anaheim Convention Center","4.5","(8,193)","","","Anaheim"
"Incredicoaster","4.9","(1,508)","Super-coaster with drops & an inversion","","Anaheim"
"Muzeo Museum and Cultural Center","4.4","(198)","Unique art exhibits for kids & adults","","Anaheim"
"Flightdeck Flight Simulation Center","4.7","(465)","Interactive flying experience for groups","","Anaheim"
"Space Mountain","4.7","(1,314)","Thrill ride with an outer-space theme","","Anaheim"
"Indiana Jones™ Adventure","4.7","(876)","Archaeological thrill ride at Disneyland","","Anaheim"
"Pearson Park","4.4","(1,718)","Vast outdoor space with paths & ponds","","Anaheim"
"Radiator Springs Racers","4.5","(796)","On-rails driving attraction for all ages","","Anaheim"
"The Rinks Anaheim ICE","4.5","(829)","Indoor facility for ice skating & hockey","","Anaheim"
"Soarin' Around the World","4.3","(67)","Amusement ride and hang gliding","","Anaheim"
"Guardians of the Galaxy – Mission: BREAKOUT!","4.8","(687)","Comic-strip theme-park adrenaline ride","","Anaheim"
"Medieval Times Dinner & Tournament","4.7","(10,938)","Middle ages","","Anaheim"
"Disney's Grand Californian Hotel & Spa","4.7","(10,262)","Upscale lodging with 3 pools & a spa","","Anaheim"
"Camelot Golfland","4.4","(2,403)","Golf and water park","","Anaheim"
"Disneyland Hotel","4.6","(8,678)","Themed lodging with pools & dining","","Anaheim"
"Knott's Soak City","4.5","(5,103)","Seasonal spot with aquatic attractions","","Anaheim"
"Cars Land","4.8","(6,547)","Themed area inspired by the ""Cars"" movie","","Anaheim"
"Fantasmic!","4.7","(172)","","","Anaheim"
"Orange County Zoo","4.7","(2,479)","8 acres of native Southwestern animals","","Anaheim"
"CTR City Anaheim","4.5","(6)","","","Anaheim"
"Unsung Brewing Company","4.7","(249)","","","Anaheim"
"Anaheim Marketplace","4.3","(7,351)","","","Anaheim"
"Aquarium of the Pacific","4.6","(27,220)","Sea-life exhibits in a waterfront space","","Anaheim"
"""it's a small world""","4.6","(1,132)","Boat ride with dolls singing iconic song","","Anaheim"
"Fullerton Arboretum","4.7","(977)","26-acre botanical garden","","Anaheim"
"Pirates Dinner Adventure","4.5","(4,802)","Dinner theater set on a Spanish galleon","","Anaheim"
"Pirates of the Caribbean","4.7","(931)","Amusement ride, walt disney, roller coaster, and amusement park","","Anaheim"
"The Disneyland Story presenting Great Moments with Mr. Lincoln","4.7","(88)","Abraham lincoln and walt disney","","Anaheim"
"Griffith Observatory","4.7","(8,868)","Planetarium, telescopes & city views","","Anaheim"
"Anaheim White House","4.7","(1,050)","","","Anaheim"
"Huntington Beach","","","Beaches, surfing & Huntington Beach Pier","","Anaheim"
"Sky Zone Trampoline Park","4.3","(1,115)","Sports","","Anaheim"
"Matterhorn Bobsleds","4.4","(1,047)","Mountainous roller coaster ride","","Anaheim"
"Star Wars: Rise of the Resistance","4.6","(400)","Star wars and amusement ride","","Anaheim"
"South Coast Plaza","4.6","(13,675)","Dynamic retail hub with shops & eateries","","Anaheim"
"Trader Sam's Enchanted Tiki Bar","4.5","(1,203)","Lively tropical spot with drinks & apps","","Anaheim"
"Buzz Lightyear Astro Blasters","4.6","(966)","Walt disney","","Anaheim"
"Sleeping Beauty Castle Walkthrough","4.6","(420)","Fanciful, fairy-tale castle replica","","Anaheim"
"Star Tours – The Adventures Continue","4.6","(454)","Star Wars attraction at Disneyland","","Anaheim"
"Bowers Museum","4.7","(1,501)","Global art, lectures & a restaurant","","Anaheim"
"Jungle Cruise","4.5","(259)","Boat trip along a tropical waterway","","Anaheim"
"Discovery Cube Orange County","4.3","(3,326)","Rotating displays & interactive exhibits","","Anaheim"
"Grizzly River Run","4.8","(845)","Disney whitewater rafting attraction","","Anaheim"
"Monsters, Inc. Mike & Sulley to the Rescue!","4.5","(1,136)","","","Anaheim"
"Splitsville Luxury Lanes","4.0","(389)","Bowling","","Anaheim"
"Mad Tea Party","4.5","(208)","Alice in Wonderland–themed spinning ride","","Anaheim"
"West Center Street Promenade","","","","","Anaheim"
"The Richard Nixon Library & Museum","4.7","(567)","Library, museum, birthplace, burial site","","Anaheim"
"Lamplight Lounge","4.4","(758)","Casual restaurant & bar in a theme park","","Anaheim"
"Peter Pan's Flight","4.2","(240)","Disneyland's sailing pirate ship ride","","Anaheim"
"Mickey's Toontown","4.5","(249)","Stylized, cartoon-themed Disneyland area","","Anaheim"
"Pixar Pal-A-Round – Swinging","4.5","(355)","Observation wheel with swinging gondolas","","Anaheim"
"Ralph B Clark Park","4.7","(2,066)","104-acre park at foot of Coyote Hills","","Anaheim"
"Walt Disney's Enchanted Tiki Room","4.6","(229)","Walt disney, parrots, art, music, and amusement park","","Anaheim"
"Autopia","4.1","(447)","Amusement ride, roller coaster, walt disney, cars, and amusement park","","Anaheim"
"Pearson Park Amphitheatre","4.6","(167)","","","Anaheim"
"Anaheim Founders' Park","4.7","(141)","","","Anaheim"
"Mr. Toad's Wild Ride","4.4","(190)","Toad, frogs, walt disney, and amusement park","","Anaheim"
"Club 33","4.7","(398)","Walt disney","","Anaheim"
"Dumbo the Flying Elephant","4.3","(186)","Classic carousel-style aerial ride","","Anaheim"
"Snow White's Scary Adventures","4.3","(243)","Haunted-house ride in a mine cart","","Anaheim"
"Blue Bayou Restaurant","4.1","(1,150)","Atmospheric Cajun eatery at Disneyland","","Anaheim"
"Pixar Pier","4.8","(93)","Themed waterfront spot with rides","","Anaheim"
"The Little Mermaid ~ Ariel's Undersea Adventure","4.6","(165)","Amusement park","","Anaheim"
"Plaza Inn","4.4","(372)","Victorian-era dining inside Disneyland","","Anaheim"
"Avengers Campus","4.3","(193)","Marvel-themed zone with rides & shows","","Anaheim"
"SwingIt Trapeze","4.9","(18)","","","Anaheim"
"GhostRider","4.8","(3,206)","Wooden roller coaster with 14 hills","","Anaheim"
"Animation Academy","4.7","(385)","Drawing workshop with a Disney animator","","Anaheim"
"Downtown Anaheim Farmers Market","4.3","(90)","","","Anaheim"
"Goofy's Sky School","4.4","(290)","Roller coaster","","Anaheim"
"King Arthur Carrousel","4.5","(98)","King arthur, walt disney, and music","","Anaheim"
"Mark Twain Riverboat","4.6","(82)","Riverboat, walt disney, river, and amusement park","","Anaheim"
"Casey Jr. Circus Train","4.5","(63)","Mini railway through fairytale scenery","","Anaheim"
"Star Wars Launch Bay","4.4","(133)","Star Wars characters, props & sets","","Anaheim"
"Storybook Land Canal Boats","4.3","(103)","Boat ride amid mini fairytale scenes","","Anaheim"
"Pirate's Lair on Tom Sawyer Island","4.3","(60)","Secret island from Mark Twain stories","","Anaheim"
"Cozy Cone Motel","4.3","(139)","Cars","","Anaheim"
"Roger Rabbit's Car Toon Spin","4.2","(157)","Amusement ride, rabbit, and amusement park","","Anaheim"
"Redwood Creek Challenge Trail","4.7","(93)","Kid-oriented adventure trail in a forest","","Anaheim"
"Mater's Junkyard Jamboree","4.6","(89)","","","Anaheim"
"Gadget's Go Coaster","4.3","(76)","Roller coaster","","Anaheim"
"Irvine Regional Park","4.8","(6,656)","Park, playground, rides & rentals","","Anaheim"
"Silly Symphony Swings","4.5","(94)","Wave-swinger ride with symphonic music","","Anaheim"
"Sailing Ship Columbia","4.6","(56)","Walt disney and riverboat","","Anaheim"
"Luigi's Rollickin' Roadsters","4.3","(66)","Amusement park, music, cars, and park","","Anaheim"
"Palm Springs Aerial Tramway","4.8","(10,023)","Scenic canyon ride on rotating tram cars","","Palm Springs"
"Palm Springs Art Museum","4.6","(2,138)","Desert's iconic museum & cultural center","","Palm Springs"
"Palm Springs Air Museum","4.8","(2,975)","WWII combat aircraft & aviation art","","Palm Springs"
"Moorten Botanical Garden","4.6","(439)","Desert environment founded in 1938","","Palm Springs"
"Joshua Tree National Park","4.8","(16,953)","Joshua trees & unusual rock formations","","Palm Springs"
"The Living Desert Zoo and Gardens","4.7","(7,946)","Native species & animals since 1970","","Palm Springs"
"Tahquitz Canyon","4.6","(424)","Natural area with a waterfall & rock art","","Palm Springs"
"Indian Canyons","4.5","(655)","Trails for hiking & horseback riding","","Palm Springs"
"Walk of the Stars Palm Springs","4.4","(705)","Sidewalk plaques honoring local VIPs","","Palm Springs"
"Villagefest Main Office Palm Springs","4.4","(28)","","","Palm Springs"
"Palm Springs Visitor Center","4.5","(929)","Landmark with souvenirs & information","","Palm Springs"
"Robolights","4.5","(994)","Whimsical, year-round sculpture garden","","Palm Springs"
"Palm Springs Windmill Tours","4.5","(429)","","","Palm Springs"
"Cabazon Dinosaurs - World's Biggest Dinosaurs","4.5","(7,601)","Outdoor display of prehistoric animals","","Palm Springs"
"North Palm Canyon Drive","","","","","Palm Springs"
"South Palm Canyon Drive","","","Downtown dining & cultural strip","","Palm Springs"
"The Cafe at Shields","4.5","(1,337)","Outdoor cafe for breakfast & lunch","","Palm Springs"
"Coachella Valley Preserve","","","Desert, hiking, park, lizards, and nature","","Palm Springs"
"Workshop Kitchen & Bar","4.3","(842)","","","Palm Springs"
"Cabot's Pueblo Museum","4.5","(539)","Native American museum in a pueblo","","Palm Springs"
"Elmer's Restaurant (Palm Springs, CA)","4.6","(4,894)","","","Palm Springs"
"Sparrows Lodge","4.7","(223)","","","Palm Springs"
"DeMuth Park","4.3","(804)","Park with tennis courts & playground","","Palm Springs"
"El Jefe Desert Cantina","4.2","(330)","","","Palm Springs"
"Downtown Palm Springs","","","Dining, an art museum & a night market","","Palm Springs"
"Mount San Jacinto","4.8","(291)","Prominent peak with trails & views","","Palm Springs"
"Escape Room Palm Springs","4.9","(1,414)","","","Palm Springs"
"Sunnylands Center & Gardens","4.7","(546)","Large, historic estate offering tours","","Palm Springs"
"Anza-Borrego Desert State Park","4.7","(3,147)","Large park with campground & wildflowers","","Palm Springs"
"Agua Caliente Cultural Museum","3.9","(42)","Exhibits & Native American culture","","Palm Springs"
"Lucille Ball Statue","4.1","(13)","Museum","","Palm Springs"
"The Amado","4.5","(21)","","","Palm Springs"
"The Purple Room Supper Club","4.6","(471)","","","Palm Springs"
"Sonny Bono Statue","4.5","(17)","History","","Palm Springs"
"Annenberg Theater","4.7","(102)","","","Palm Springs"
"Agua Caliente Casino Palm Springs","4.2","(7,210)","Busy, always-open gambling destination","","Palm Springs"
"Agua Caliente Resort Casino Spa Rancho Mirage","4.3","(12,917)","","","Palm Springs"
"Bootlegger Tiki","4.3","(551)","","","Palm Springs"
"Antique Galleries of Palm Springs","4.7","(187)","","","Palm Springs"
"BIKE Palm Springs Rentals & Tours | Bike Rentals","4.9","(162)","","","Palm Springs"
"El Paseo Shopping District","4.4","(352)","","","Palm Springs"
"Mt San Jacinto State Park","4.8","(2,522)","Mountain hiking with desert views","","Palm Springs"
"Children's Discovery Museum of the Desert","","","Hands-on exhibits & toddler spaces","","Palm Springs"
"Estrella Spa","4.4","(19)","","","Palm Springs"
"The Frippery","4.4","(11)","","","Palm Springs"
"Ruth Hardy Park-basketball court","5.0","(1)","","","Palm Springs"
"Ruth Hardy Park","4.5","(950)","Picnicking, tennis & other court sports","","Palm Springs"
"Palm Springs Art Museum Architecture and Design Center","4.3","(365)","Museum, architecture, art, art museum, and modern architecture","","Palm Springs"
"Forever Marilyn","4.8","(294)","Sculpture","","Palm Springs"
"Cactus to Clouds Trail","4.7","(237)","Hiking area with a steep elevation","","Palm Springs"
"Desert Adventures - Red Jeep Tours Sales Office & Tickets","4.8","(117)","","","Palm Springs"
"Araby Trail","4.6","(85)","","","Palm Springs"
"Museum of Ancient Wonders","4.8","(131)","Museum and history","","Palm Springs"
"Palm Springs Historical Society","4.6","(47)","Non-profit with history exhibits & tours","","Palm Springs"
"Santa Rosa and San Jacinto Mountains National Monument","4.7","(2,340)","Scenic mountain area with trails","","Palm Springs"
"Agua Caliente Tahquitz Visitor Center","4.6","(492)","Canyon packed with Indian heritage","","Palm Springs"
"Kaufmann House","","","Famed modernist house designed by Neutra","","Palm Springs"
"Backstreet Art District","4.5","(82)","Artsy complex with galleries & services","","Palm Springs"
"Mission Creek Preserve","4.7","(159)","Hiking","","Palm Springs"
"North Lykken Trailhead","4.7","(246)","","","Palm Springs"
"Palm Springs Skate Park","4.7","(155)","Skateboarding","","Palm Springs"
"Mojave Desert","4.4","(704)","Expansive, arid place with Joshua trees","","Palm Springs"
"Frey House II","4.4","(14)","Museum","","Palm Springs"
"Museum Trail","4.7","(54)","","","Palm Springs"
"Victoria Park","4.4","(233)","Playground, picnic area & mountain views","","Palm Springs"
"Oasis Date Gardens","4.5","(384)","","","Palm Springs"
"Sunrise Park","4.2","(193)","Park","","Palm Springs"
"Desert Art Center","4.6","(40)","Local nonprofit with a gallery & classes","","Palm Springs"
"Frances Stevens Park","4.3","(153)","Outdoor retreat with a modern fountain","","Palm Springs"
"Palm Desert Aquatic Center","4.6","(538)","3 pools, slides, concessions & classes","","Palm Springs"
"International Banana Museum","4.4","(311)","Museum","","Palm Springs"
"Knott's Soak City","4.5","(5,103)","Seasonal spot with aquatic attractions","","Palm Springs"
"Agua Caliente Casino Cathedral City","4.2","(1,163)","Gaming hall with live bands & a bar","","Palm Springs"
"Liberace House","4.6","(41)","","","Palm Springs"
"World Famous Crochet Museum","4.7","(137)","Unique collection of crocheted items","","Palm Springs"
"Cornelia White House","5.0","(1)","Museum","","Palm Springs"
"South Lykken Trail I","4.8","(6)","Hiking","","Palm Springs"
"Downtown Park","4.6","(19)","Park","","Palm Springs"
"Tahquitz Falls","4.7","(184)","Waterfall","","Palm Springs"
"Edris House","5.0","(3)","Modern architecture, architecture, and modernism","","Palm Springs"
"Palm Springs Swim Center","4.1","(119)","Outdoor facility with a multilane pool","","Palm Springs"
"Artize Gallery","4.9","(7)","Art","","Palm Springs"
"Oak Tree Mountain","4.5","(1,288)","Old-timey theme park with a petting zoo","","Palm Springs"
"Albert Frey's Cree House","5.0","(5)","","","Palm Springs"
"Angel Cove Monument","4.7","(6)","History","","Palm Springs"
"Tahquitz Creek","1.0","(1)","Golf","","Palm Springs"
"Coachella Valley Vista Point","4.7","(1,193)","Panoramic roadside desert overlook","","Palm Springs"
"Azure Palm Hot Springs Resort & Day Spa Oasis","4.6","(182)","","","Palm Springs"
"Chino Canyon","3.5","(2)","Canyon, hiking, and park","","Palm Springs"
"Mission Hills Country Club","4.5","(412)","Upscale private golf & fitness club","","Palm Springs"
"Town Square Park","4.5","(305)","","","Palm Springs"
"Greater Palm Springs","4.7","(28)","Official tourist office for the area","","Palm Springs"
"Andreas Canyon Trailhead","4.9","(557)","Desert and nature","","Palm Springs"
"Coachella Valley History Museum","4.6","(113)","Local history & a museum about dates","","Palm Springs"
"Civic Center Park","4.7","(2,167)","Sports fields, concerts & public art","","Palm Springs"
"Earl Henderson Trail","3.9","(19)","Locale for mountain walks & nature hikes","","Palm Springs"
"Ocotillo Park","4.4","(429)","Park","","Palm Springs"
"Panorama Park","4.4","(533)","Park","","Palm Springs"
"California State Capitol Museum","4.6","(4,806)","The state's history in exhibits","","Sacramento"
"California State Railroad Museum","4.8","(3,591)","Antique locomotives, rides & more","","Sacramento"
"Crocker Art Museum","4.8","(2,689)","Historic museum with diverse works","","Sacramento"
"Sacramento Zoo","4.4","(6,538)","Giraffes & over 140 species on 15 acres","","Sacramento"
"Sutter's Fort State Historic Park","4.5","(1,707)","Costumed docents re-enact pioneer life","","Sacramento"
"Old Sacramento Waterfront","4.6","(23,379)","Guided tours, museums & a visitor center","","Sacramento"
"Fairytale Town","4.5","(2,303)","Long-standing kid-focused park","","Sacramento"
"William Land Regional Park","4.6","(5,584)","Greenspace with a zoo & much more","","Sacramento"
"California Automobile Museum","4.6","(283)","A host of antique cars on display","","Sacramento"
"McKinley Park","4.6","(3,750)","Rose garden, pool & many activities","","Sacramento"
"Cathedral of the Blessed Sacrament","4.8","(940)","Ornate church with tours & a gift shop","","Sacramento"
"Stanford Mansion","4.7","(283)","Restored Victorian mansion & museum","","Sacramento"
"California Museum","4.4","(553)","State history exhibits & a hall of fame","","Sacramento"
"California State Capitol Park","4.7","(1,939)","Landscaped park with monuments & gardens","","Sacramento"
"State Indian Museum","4.5","(265)","Displays celebrating indigenous tribes","","Sacramento"
"Tower Bridge","4.6","(1,325)","Historic span over the Sacramento River","","Sacramento"
"Sacramento History Museum","4.6","(667)","Regional heritage & Gold Rush exhibits","","Sacramento"
"Old Sacramento","","","Gold Rush buildings & Railroad Museum","","Sacramento"
"Golden 1 Center","4.5","(8,672)","","","Sacramento"
"Discovery Park","4.3","(2,061)","Park for biking, play, fishing & picnics","","Sacramento"
"Arden Fair","4.2","(16,996)","","","Sacramento"
"Funderland Amusement Park","4.3","(1,059)","Amusement park for young children","","Sacramento"
"The Sofia, Home of B Street Theatre","4.8","(882)","","","Sacramento"
"Embassy Suites by Hilton Sacramento Riverfront Promenade","4.3","(2,025)","","","Sacramento"
"Crest Theatre","4.6","(1,580)","","","Sacramento"
"Jedediah Smith Memorial Trail","3.8","(12)","Sizable multi-use path with river views","","Sacramento"
"American River Bike Trail","","","","","Sacramento"
"Midtown","","","Trendy restaurants, nightlife & shops","","Sacramento"
"CSU Sacramento Arboretum","4.5","(2)","","","Sacramento"
"Wyndham Garden Sacramento Airport Natomas","4.1","(566)","","","Sacramento"
"The Firehouse","4.6","(1,272)","","","Sacramento"
"Sacramento Historic City Cemetery","4.5","(63)","Victorian cemetery with 3 gardens","","Sacramento"
"Hyatt Centric Downtown Sacramento","4.2","(100)","","","Sacramento"
"Punch Bowl Social Sacramento","4.0","(1,790)","","","Sacramento"
"The Waterboy","4.7","(630)","","","Sacramento"
"Sutter's Fort Museum Store","4.8","(12)","","","Sacramento"
"Theater Of Lights","4.9","(7)","","","Sacramento"
"Global Winter Wonderland Presents ""Imaginarium"" at Cal Expo","4.0","(515)","","","Sacramento"
"Sacramento Walk of Stars","4.3","(3)","","","Sacramento"
"American River Parkway","4.3","(3)","River and park","","Sacramento"
"Vagabond Inn Executive - Sacramento (Old Town)","3.9","(726)","","","Sacramento"
"California State University, Sacramento","4.4","(452)","","","Sacramento"
"Roseville Golfland Sunsplash","4.4","(4,549)","Water park and golf","","Sacramento"
"Folsom Lake State Recreation Area","4.6","(4,844)","Camping, fishing & an old power plant","","Sacramento"
"Granite Regional Park","4.3","(663)","Premier skate park, soccer & dog park","","Sacramento"
"Haggin Oaks Golf Complex","4.5","(909)","Longtime complex with 2 18-hole courses","","Sacramento"
"Old Sacramento Historic District","4.6","(3,670)","","","Sacramento"
"State Capitol Park World Peace Rose Garden","4.8","(854)","Victorian style rose garden & pavilion","","Sacramento"
"Sacramento International Airport","4.4","(7,215)","","","Sacramento"
"SMUD Museum of Science and Curiosity","4.4","(915)","Hands-on, kid-centric exhibits & more","","Sacramento"
"Black Chasm Cavern National Natural Landmark","4.7","(783)","Cave with rock & crystal formations","","Sacramento"
"UC Davis Arboretum Teaching Nursery","4.8","(97)","Spacious garden park with free admission","","Sacramento"
"The Eagle Theatre","4.4","(18)","","","Sacramento"
"SeaQuest Folsom","4.7","(4,770)","Hands-on animal park with rays & sloths","","Sacramento"
"North Natomas Regional Park","4.6","(1,105)","Multi-use park for sports, play, events","","Sacramento"
"Amtrak Station","","","","","Sacramento"
"River Walk Park","4.5","(677)","Outdoor spot with water & skyline views","","Sacramento"
"Old Sacramento State Historic Park","4.7","(316)","Park","","Sacramento"
"Sutter's Landing Regional Park","4.3","(946)","3-acre park with a multi-use trail","","Sacramento"
"Sonoma Zipline Adventures","4.8","(587)","Zip line, forest, adventure, wine, and wine tasting","","Sacramento"
"Experience Italy","4.2","(6)","","","Sacramento"
"John C. Frémont Park","4.4","(860)","Snug park with a seasonal produce market","","Sacramento"
"Governor's Mansion State Historic Park","4.4","(55)","Victorian-era home with gardens","","Sacramento"
"César Chávez Plaza","4.1","(1,775)","Urban green spot with a cafe & market","","Sacramento"
"Napa Valley Aloft Hot Air Balloon Rides","4.8","(993)","","","Sacramento"
"Urban Air Trampoline and Adventure Park","4.2","(795)","Amusement park and zip line","","Sacramento"
"B. F. Hastings Bank Building","4.0","(3)","Museum","","Sacramento"
"Sand Cove Park","4.3","(592)","American River access & a nature area","","Sacramento"
"Truitt Bark Park","4.4","(472)","","","Sacramento"
"California Cavern State Historic Landmark","4.7","(196)","Stalactites, stalagmites & flowstones","","Sacramento"
"Aerospace Museum of California","4.7","(1,091)","Planes, spacecraft & hands-on simulators","","Sacramento"
"WPA Rock Garden","4.8","(128)","Garden","","Sacramento"
"Sojourner Truth Multicultural Art Museum","4.6","(182)","Multicultural murals, education & art","","Sacramento"
"Paradise Beach","4.3","(239)","Riverfront park for swimming & picnics","","Sacramento"
"Visit Sacramento","4.3","(11)","Convention center","","Sacramento"
"Lincoln","","","Casino, golf, and concert","","Sacramento"
"Howe Community Park","4.3","(2,386)","Sports fields, picnic area & playground","","Sacramento"
"Lucid Winery & Tasting Room","4.7","(53)","Wine","","Sacramento"
"Underground Tours","4.5","(6)","","","Sacramento"
"Jacinto Creek Park","4.2","(265)","","","Sacramento"
"Bannon Creek Park & Parkway","4.1","(252)","","","Sacramento"
"Capitol Casino","4.0","(1,022)","Poker room with an on-site lounge & cafe","","Sacramento"
"La Terraza","3.6","(863)","","","Sacramento"
"Museum of Medical History","4.6","(53)","Medical artifacts & antique instruments","","Sacramento"
"Downtown Sacramento Partnership","4.3","(44)","","","Sacramento"
"The Underground Tasting Room","4.6","(22)","Winery and wine","","Sacramento"
"NAPA SHUTTLE & LIMOUSINES","4.9","(104)","","","Sacramento"
"Waterfront Park","4.5","(18)","Park","","Sacramento"
"California state railroad Museum Foundation","5.0","(4)","","","Sacramento"
"UC Davis Health Pavilion","4.8","(9)","Theatre and music","","Sacramento"
"Central Pacific Railroad Passenger Station","4.9","(23)","Museum","","Sacramento"
"Scavenger Hunt Walking Tours - Old Sacramento","4.7","(3)","","","Sacramento"
"Folsom Historic District","4.7","(397)","","","Sacramento"
"Swanston Park","4.4","(476)","Seasonal spot for outdoor water play","","Sacramento"
"Carmichael Park","4.4","(1,774)","Dog park, sports fields & picnic spots","","Sacramento"
"Tree Top Sac","4.9","(151)","","","Sacramento"
"Napa Valley Paddle","5.0","(44)","","","Sacramento"
"Gibbons Community Park","4.6","(506)","","","Sacramento"
"San Antonio River Walk","4.7","(32,337)","Shops, eateries & hotels along the river","","San Antonia"
"The Alamo","4.6","(50,813)","Legendary fort & Texas-history museum","","San Antonia"
"San Antonio Missions National Historical Park","4.8","(7,928)","Ranger-led tours on 18th-century grounds","","San Antonia"
"Japanese Tea Garden","4.8","(11,327)","Park with a waterfall, pagoda & a cafe","","San Antonia"
"San Antonio Zoo","4.5","(19,024)","54 acres, 750 species, exhibits & train","","San Antonia"
"San Antonio Museum of Art (SAMA)","4.7","(3,430)","Works from Egyptian to Latin-American","","San Antonia"
"San Antonio Botanical Garden","4.7","(5,392)","Serene spot with trails, a pond & a cafe","","San Antonia"
"San Fernando Cathedral","4.8","(4,620)","Landmark 1730s Catholic church","","San Antonia"
"Six Flags Fiesta Texas","4.3","(29,078)","Amusement park with rides & a water park","","San Antonia"
"Brackenridge Park","4.7","(13,584)","Trails, sports, picnics & train rides","","San Antonia"
"Seaworld San Antonio","4.4","(27,368)","Aquatic theme park with shows & rides","","San Antonia"
"Natural Bridge Caverns","4.7","(12,127)","Underground tours & canopy adventures","","San Antonia"
"Historic Market Square","4.6","(15,022)","Landmark Mexican shopping district","","San Antonia"
"Morgan's Wonderland","4.8","(3,028)","Amusement park for all ages & abilities","","San Antonia"
"Briscoe Western Art Museum","4.7","(1,612)","Gallery for American Western artwork","","San Antonia"
"Mission San Jose Church Parish Offices","4.8","(1,749)","Limestone sanctuary with a rose window","","San Antonia"
"The DoSeum","4.5","(1,193)","Interactive exhibits & creative programs","","San Antonia"
"La Villita Historic Village","4.5","(5,737)","Neighborhood for local art since 1939","","San Antonia"
"Tower of the Americas","4.5","(8,240)","750-ft. tower with a revolving eatery","","San Antonia"
"The Buckhorn Saloon & Museum","4.4","(2,556)","","","San Antonia"
"Majestic Theatre","4.7","(4,086)","","","San Antonia"
"Witte Museum","4.6","(5,382)","","","San Antonia"
"The Guenther House","4.5","(3,754)","","","San Antonia"
"Hemisfair","4.6","(13,051)","Park with fountains & historic buildings","","San Antonia"
"Spanish Governor's Palace","4.5","(370)","Mid-1700s Spanish military residence","","San Antonia"
"Natural Bridge Wildlife Ranch","4.4","(7,191)","Wildlife encounters by car & on foot","","San Antonia"
"Mission Concepción","4.7","(2,327)","18th-century church with frescos & mass","","San Antonia"
"San Antonio Aquarium","4.2","(9,511)","Hands-on aquarium with a bounce house","","San Antonia"
"UTSA Institute of Texan Cultures","4.6","(256)","Museum with exhibits & special events","","San Antonia"
"King William Historic District","4.6","(45)","History","","San Antonia"
"San Antonio Fire Museum","4.9","(376)","Museum","","San Antonia"
"McNay Art Museum","4.7","(2,698)","","","San Antonia"
"The Shops at La Cantera","4.6","(11,052)","","","San Antonia"
"Pearl Brewery","4.7","(9,971)","","","San Antonia"
"San Pedro Springs Park","4.4","(2,960)","Outdoor space with a spring-fed pool","","San Antonia"
"Yanaguana Garden at Hemisfair","4.7","(2,102)","Unique play equipment & public art","","San Antonia"
"Monster Mini Golf","4.3","(1,109)","","","San Antonia"
"Ranger Creek Brewing & Distilling","4.7","(394)","Beer & whiskey brewstillery with tours","","San Antonia"
"World’s Largest Cowboy Boots","4.6","(312)","","","San Antonia"
"Artpace San Antonio","4.4","(175)","Contemporary gallery & residency program","","San Antonia"
"McAllister Park","4.6","(3,935)","Trails, athletic fields & a dog park","","San Antonia"
"GO RIO San Antonio River Cruises","4.6","(2,692)","River tour boat agency","","San Antonia"
"Kiddie Park","4.4","(1,316)","Amusement park & party venue for kids","","San Antonia"
"Sisters Grimm Ghost Tours","4.8","(2,998)","Nighttime history tours & souvenirs","","San Antonia"
"Ripley's Believe It or Not!","4.4","(3,158)","Wax museum and museum","","San Antonia"
"Fort Sam Houston Quadrangle and Museum","4.7","(389)","Military park, clock tower & museum","","San Antonia"
"Menger Hotel","4.4","(3,631)","","","San Antonia"
"Confluence Park","4.7","(1,020)","Outdoor retreat with trails & sculpture","","San Antonia"
"Aquatica San Antonio","4.6","(6,774)","Theme park with water slides & beaches","","San Antonia"
"Tower of the Americas","","","","","San Antonia"
"Hopscotch San Antonio","4.7","(1,678)","","","San Antonia"
"Texas Transportation Museum","4.5","(370)","Trains, antique cars & a historic depot","","San Antonia"
"Contemporary at Blue Star","4.5","(173)","Industrial space with multiple galleries","","San Antonia"
"LEGOLAND Discovery Center San Antonio","4.2","(1,089)","","","San Antonia"
"San Pedro Creek Culture Park","4.6","(325)","Park","","San Antonia"
"Woodlawn Lake Park","4.6","(6,545)","Relaxed spot for picnics, fishing & more","","San Antonia"
