"name","rating","reviews_count","description","image","city"
"Metropolitan Waterworks Museum","4.7","(346)","Exhibits on 1st U.S. city water system","","Boston"
"Old South Church in Boston","4.6","(343)","Gothic church with music services","","Boston"
"Waterfront","","","Boston Harbor & New England Aquarium","","Boston"
"Leonard P. Zakim Bunker Hill Memorial Bridge","4.7","(288)","Landmark bridge with cable towers","","Boston"
"Piers Park","4.8","(408)","Park","","Boston"
"The Hahvahd Tour","4.7","(165)","","","Boston"
"John Fitzgerald Kennedy National Historic Site","4.6","(314)","Birthplace & home of JFK with tours","","Boston"
"Robert Gould Shaw and the 54th Regiment Memorial","4.6","(145)","Commemorative bronze Civil War monument","","Boston"
"Adams National Historical Park","4.6","(336)","Former compound of a historic family","","Boston"
"Longfellow House-Washington's Headquarters National Historic Site","4.7","(265)","Historic poet's home & war headquarters","","Boston"
"Emerald Necklace","4.5","(8)","Chain of parks linked by walkways","","Boston"
"Paul Revere Mall","","","","","Boston"
"Old Corner Book Store","3.5","(54)","Historic building built in bricks","","Boston"
"Massachusetts Historical Society","5.0","(10)","Library of rare early-American documents","","Boston"
"Peabody Museum of Archaeology and Ethnology","4.6","(509)","Anthropological collections at Harvard","","Boston"
"Nichols House Museum","4.6","(49)","Historic Victorian home turned museum","","Boston"
"Copley Square","4.7","(100)","Scenic public square in Back Bay","","Boston"
"San Diego Zoo","4.7","(47,825)","Zoo, safari park & wildlife conservation","","San Diego"
"Balboa Park","4.8","(65,503)","Multi-attraction park covers 1,200 acres","","San Diego"
"USS Midway Museum","4.8","(38,867)","Historic aircraft carrier with exhibits","","San Diego"
"Seaport Village","4.6","(23,977)","Waterfront shopping, dining & walking","","San Diego"
"Cabrillo National Monument","4.8","(10,189)","Historic lighthouse with expansive views","","San Diego"
"Torrey Pines State Reserve","4.8","(13,004)","Trails, beaches, lagoons & wildlife","","San Diego"
"SeaWorld San Diego","4.4","(41,195)","Aquatic theme park with shows & rides","","San Diego"
"Petco Park","4.7","(17,384)","Notable stadium for sports & concerts","","San Diego"
"San Diego Zoo Safari Park","4.7","(21,893)","Vast wildlife sanctuary with tours","","San Diego"
"Old Town San Diego State Historic Park","4.7","(25,085)","Open-air living-history museum","","San Diego"
"Belmont Park","4.5","(14,655)","Beachside amusement park with retro vibe","","San Diego"
"La Jolla Shores Park","4.7","(6,795)","Grassy & chill spot next to the beach","","San Diego"
"Sunset Cliffs Natural Park","4.8","(6,148)","Rocky cliffs overlooking the ocean","","San Diego"
"Children's Pool La Jolla","4.7","(7,347)","Small beach with harbor seals","","San Diego"
"Birch Aquarium at Scripps Institution of Oceanography","4.5","(6,086)","Up-close marine life & hands-on exhibits","","San Diego"
"Maritime Museum of San Diego","4.7","(3,482)","Destination for restored antique ships","","San Diego"
"Gaslamp Quarter","","","Balboa Theatre & busy nightlife spots","","San Diego"
"Hotel del Coronado, Curio Collection by Hilton","4.5","(16,620)","Lively beachfront property with dining","","San Diego"
"Mt. Soledad National Veterans Memorial","4.8","(4,275)","Large monument honoring veterans","","San Diego"
"Mission Basilica San Diego de Alcala","4.7","(1,395)","California's first Franciscan mission","","San Diego"
"La Jolla Cove","4.8","(2,298)","Swimming, scuba diving & picnicking","","San Diego"
"The San Diego Museum of Art","4.6","(1,842)","Renowned collections & an outdoor eatery","","San Diego"
"Little Italy","","","Trendy cocktail bars & upscale shopping","","San Diego"
"San Diego Air & Space Museum","4.6","(4,124)","Aviation history exhibits & a gift shop","","San Diego"
"Old Town","","","Famous area known as state's birthplace","","San Diego"
"Mission Beach","","","SeaWorld, surfing & casual eateries","","San Diego"
"Pacific Beach","","","Surfing, sunbathing & boardwalk bars","","San Diego"
"San Diego Natural History Museum","4.6","(2,754)","Big, comprehensive science museum","","San Diego"
"Fleet Science Center","4.5","(3,120)","Hands-on exhibits & IMAX theater","","San Diego"
"Waterfront Park","4.7","(8,324)","Park with fountains, lawns & a play area","","San Diego"
"Coronado Bridge","4.6","(618)","Curved bridge with skyline views","","San Diego"
"LEGOLAND California","4.5","(29,793)","Vibrant Lego-themed hotel with a pool","","San Diego"
"Coronado Island","4.8","(743)","Beaches, old town & a Victorian hotel","","San Diego"
"La Jolla Cove","4.8","(9,378)","","","San Diego"
"Chicano Park","4.6","(3,708)","Public space with colorful murals","","San Diego"
"Whaley House Museum","4.4","(1,607)","19th-century U.S. history museum","","San Diego"
"Museum of Us","4.3","(2,006)","Anthropology displays in historic digs","","San Diego"
"Mission Beach Boardwalk | Ocean Front Walk","4.7","(4,198)","Bustling promenade with ocean vistas","","San Diego"
"Torrey Pines Gliderport","4.8","(4,052)","","","San Diego"
"Presidio Park","4.6","(1,491)","Historical park with a cultural museum","","San Diego"
"Mission Trails Regional Park","4.7","(7,321)","Expansive recreational area with trails","","San Diego"
"The New Children’s Museum","4.5","(2,378)","Hands-on artwork & creative play spaces","","San Diego"
"Japanese Friendship Garden","4.6","(6,856)","Bonsai trees, koi ponds & garden tours","","San Diego"
"Liberty Public Market","4.7","(5,355)","Eateries & vendors in a historic space","","San Diego"
"Botanical Building","4.7","(4,161)","Lush park with a garden & domed building","","San Diego"
"Point Loma","","","Cabrillo National Monument & seafood","","San Diego"
"Mission Bay","4.7","(213)","Boating & beaches in scenic surrounds","","San Diego"
"Spruce Street Suspension Bridge","4.7","(2,410)","Historical footbridge with scenic views","","San Diego"
"San Diego Convention Center","4.5","(7,347)","","","San Diego"
"Gaslamp Quarter Station","4.5","(31)","","","San Diego"
"Ocean Beach","","","Ocean Beach surfing & antiques shops","","San Diego"
"Museum of Photographic Arts","4.5","(479)","Vast photo collection in a grand locale","","San Diego"
"City Cruises San Diego Whale Watching & Harbor Tours","4.5","(1,095)","","","San Diego"
"Ocean Beach Pier","4.6","(8,719)","Long fishing pier with sunset views","","San Diego"
"Embarcadero","","","Bayside parks & shops at Seaport Village","","San Diego"
"Coronado Ferry Center","4.7","(8,050)","Shopping mall with waterfront views","","San Diego"
"Coronado Ferry Terminal","4.6","(729)","","","San Diego"
"Coronado Beach","4.8","(1,273)","Popular beach for swimming & surfing","","San Diego"
"Spreckels Organ Pavilion","4.7","(857)","","","San Diego"
"Black's Beach","4.7","(616)","Secluded, clothing optional beach","","San Diego"
"Torrey Pines Golf Course","4.7","(2,282)","Famed course atop ocean cliffs","","San Diego"
"Old Point Loma Lighthouse","4.7","(2,049)","Refurbished 1850s landmark with exhibits","","San Diego"
"Sunset Cliffs","","","Clifftop lookouts, caves & surfing","","San Diego"
"Harper's Topiary Garden","4.5","(302)","Garden","","San Diego"
"Spanish Village Art Center","4.7","(1,974)","Vibrant complex with art shops & classes","","San Diego"
"Windansea Beach","4.8","(358)","Storied surf beach with an iconic shack","","San Diego"
"Mission Bay","","","SeaWorld, beaches & sailing trips","","San Diego"
"la Jolla Shores Beach","4.7","(3,627)","Scuba classes & gentle waves","","San Diego"
"Liberty Station","","","Liberty Public Market, shops & galleries","","San Diego"
"Torrey Pines State Beach","4.7","(444)","Sandy surfing & swimming beach","","San Diego"
"Star of India","4.7","(1,120)","Historical sailing ship turned museum","","San Diego"
"San Diego Model Railroad Museum","4.6","(797)","Scale models of California railroads","","San Diego"
"Balboa Theatre","4.6","(1,428)","Historic venue for live concerts & plays","","San Diego"
"San Diego Automotive Museum","4.4","(1,443)","Showcase of vintage cars & motorcycles","","San Diego"
"Fiesta Island Park","4.6","(929)","Peninsula for picnics, parties & pooches","","San Diego"
"The Flower Fields","4.5","(5,222)","Seasonal spot for floral family fun","","San Diego"
"Timken Museum of Art","4.6","(763)","Intimate, curated 5-room gallery","","San Diego"
"Soledad Mountain","4.8","(252)","Iconic mountain with a famous cross","","San Diego"
"Anza-Borrego Desert State Park","4.7","(3,147)","Large park with campground & wildflowers","","San Diego"
"Coronado","","","Hotel del Coronado & Coronado Beach","","San Diego"
"San Diego Botanic Garden","4.7","(2,704)","Sprawling locale with unique vegetation","","San Diego"
"Bernardo Winery","4.6","(465)","Gardens, a tasting room & art galleries","","San Diego"
"Mingei International Museum","4.6","(332)","Exhibits on folk art, craft & design","","San Diego"
