"name","location","beds","rating","rating_title","number_of_ratings","price","price_for","image","url"
"Cambria Hotel Boston, Downtown-South Boston","South Boston, Boston","1 king bed","8.1","Very Good","897 reviews","$297","2 nights , 2 adults","https://cf.bstatic.com/xdata/images/hotel/square200/371024055.webp?k=dda38516bf6f792555a4dea323683d898f67e615d503526b68f1d68c915c87cb&o=&s=1","https://www.booking.com/hotel/us/cambria-boston-downtown.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=20061717&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=f606036ca0a00098&srepoch=1669681753&all_sr_blocks=425270901_130020737_2_42_0&highlighted_blocks=425270901_130020737_2_42_0&matching_block_id=425270901_130020737_2_42_0&sr_pri_blocks=425270901_130020737_2_42_0__29661&from=searchresults#hotelTmpl"
"Boston Park Plaza","Theater District, Boston","1 queen bed","8.1","Very Good","Travel Sustainable property","$342","2 nights , 2 adults","https://cf.bstatic.com/xdata/images/hotel/square200/86243175.webp?k=714404d623f70a76040be29180a41b23c37ab579ff1e6c0d85758579ff011cdb&o=&s=1","https://www.booking.com/hotel/us/boston-park-plaza-boston.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=20061717&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=f606036ca0a00098&srepoch=1669681753&all_sr_blocks=211943723_193810770_2_42_0&highlighted_blocks=211943723_193810770_2_42_0&matching_block_id=211943723_193810770_2_42_0&sr_pri_blocks=211943723_193810770_2_42_0__34160&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
"The Revolution Hotel","South End, Boston","2 beds (1 twin, 1 king)","8.3","Very Good","Travel Sustainable property","$286","2 nights , 2 adults","https://cf.bstatic.com/xdata/images/hotel/square200/176629549.webp?k=30ddf9e14aba48a91e77409e37f6da8d0577fb8453a17c6d556b4d5d6bde5b95&o=&s=1","https://www.booking.com/hotel/us/the-revolution.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=20061717&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=f606036ca0a00098&srepoch=1669681753&all_sr_blocks=404519902_256257449_3_0_0&highlighted_blocks=404519902_256257449_3_0_0&matching_block_id=404519902_256257449_3_0_0&sr_pri_blocks=404519902_256257449_3_0_0__28640&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
"Battery Wharf Hotel, Boston Waterfront","Waterfront, Boston","1 king bed","8.3","Very Good","1,261 reviews","$374","2 nights , 2 adults","https://cf.bstatic.com/xdata/images/hotel/square200/15244889.webp?k=8c5945c55da584f0b5c3431d8b182b7f9b34c3342f4fcf969a64cb21e8083d93&o=&s=1","https://www.booking.com/hotel/us/battery-wharf-hotel.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=20061717&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=f606036ca0a00098&srepoch=1669681753&all_sr_blocks=29873113_298382274_2_0_0&highlighted_blocks=29873113_298382274_2_0_0&matching_block_id=29873113_298382274_2_0_0&sr_pri_blocks=29873113_298382274_2_0_0__37440&from=searchresults#hotelTmpl"
"Staypineapple, A Delightful Hotel, South End","South End, Boston","1 king bed","8.3","Very Good","563 reviews","$196","2 nights , 2 adults","https://cf.bstatic.com/xdata/images/hotel/square200/170503558.webp?k=94d93a37f8e9008136140f3cfe0106efe95f53f046422e53de2ccb30252618d7&o=&s=1","https://www.booking.com/hotel/us/staypineapple-south-end.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=20061717&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=f606036ca0a00098&srepoch=1669681753&all_sr_blocks=7561306_258665034_2_0_0&highlighted_blocks=7561306_258665034_2_0_0&matching_block_id=7561306_258665034_2_0_0&sr_pri_blocks=7561306_258665034_2_0_0__19560&from=searchresults#hotelTmpl"
"The Boxer","West End, Boston","1 full bed","7.9","Good","601 reviews","$349","2 nights , 2 adults","https://cf.bstatic.com/xdata/images/hotel/square200/17248934.webp?k=ecd8d4992a66e9699cb6a084b3b540f5fc8b9d5f0d67daf064a07b3e28979172&o=&s=1","https://www.booking.com/hotel/us/bulfinch.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=20061717&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=f606036ca0a00098&srepoch=1669681753&all_sr_blocks=5589409_204419248_0_0_0&highlighted_blocks=5589409_204419248_0_0_0&matching_block_id=5589409_204419248_0_0_0&sr_pri_blocks=5589409_204419248_0_0_0__34860&from=searchresults#hotelTmpl"
"Boston Hotel Commonwealth","Fenway Kenmore, Boston","1 king bed","8.6","Excellent","Travel Sustainable property","$430","2 nights , 2 adults","https://cf.bstatic.com/xdata/images/hotel/square200/67270268.webp?k=38ccf65fc57cc005a2973678bc69f5273d944705bccfd64ea2364e85f39d4e0c&o=&s=1","https://www.booking.com/hotel/us/c-boston-massachusettes.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=20061717&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=f606036ca0a00098&srepoch=1669681753&all_sr_blocks=5955401_278128367_3_0_0&highlighted_blocks=5955401_278128367_3_0_0&matching_block_id=5955401_278128367_3_0_0&sr_pri_blocks=5955401_278128367_3_0_0__43020&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
"YOTEL Boston","Waterfront, Boston","1 queen bed","7.9","Good","Travel Sustainable property","$298","2 nights , 2 adults","https://cf.bstatic.com/xdata/images/hotel/square200/308960206.webp?k=0303fabeb3c182a000368597695bfed24dc2825ce5cd539d5541d34652ffbb72&o=&s=1","https://www.booking.com/hotel/us/yotel-boston.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=20061717&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=f606036ca0a00098&srepoch=1669681753&all_sr_blocks=222142001_265587434_2_0_0&highlighted_blocks=222142001_265587434_2_0_0&matching_block_id=222142001_265587434_2_0_0&sr_pri_blocks=222142001_265587434_2_0_0__29750&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
"InterContinental Boston, an IHG Hotel","Waterfront, Boston","2 queen beds","8.5","Very Good","Travel Sustainable property","$548","2 nights , 2 adults","https://cf.bstatic.com/xdata/images/hotel/square200/397791781.webp?k=da6db333cdf5f96c142480fb81480759febd8ad528f5b0d20dc95009ee8f6557&o=&s=1","https://www.booking.com/hotel/us/intercontinental-boston.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=20061717&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=f606036ca0a00098&srepoch=1669681753&all_sr_blocks=18254307_246084450_2_0_0&highlighted_blocks=18254307_246084450_2_0_0&matching_block_id=18254307_246084450_2_0_0&sr_pri_blocks=18254307_246084450_2_0_0__54800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
"Hilton Boston Logan Airport","East Boston, Boston","2 queen beds","8.1","Very Good","Travel Sustainable property","$296","2 nights , 2 adults","https://cf.bstatic.com/xdata/images/hotel/square200/277430905.webp?k=a69d3582bbf65633f4b6b6e45e99462d06ae0beac685659b6c436d937a3b46a7&o=&s=1","https://www.booking.com/hotel/us/hilton-logan-airport.html?label=gen173nr-1FCAEoggI46AdIM1gEaJgCiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKrpP-bBsACAdICJDkyNjA2NjFkLWViMmQtNDg3Ni04ZWUxLTgyYmUwYzFlZjkyM9gCBeACAQ&sid=6833cfb26d76ba7d1a860659fc1e6d0e&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-28&checkout=2023-01-30&dest_id=20061717&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=f606036ca0a00098&srepoch=1669681753&all_sr_blocks=2871036_95462417_2_2_0&highlighted_blocks=2871036_95462417_2_2_0&matching_block_id=2871036_95462417_2_2_0&sr_pri_blocks=2871036_95462417_2_2_0__29600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
